TestID,Catagory,Release_Id,Build_Id,Component_Id,TestRun,Status,Description
Smoke_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_NotFoundFail_ActionOnfailContinue,Smoke,4.1.3,3,NS,TR3570,PASS,Smoke_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_NotFoundFail_ActionOnfailContinue passed
Smoke_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_NotFoundFail_ActionOnfailStop,Smoke,4.1.3,3,NS,TR3571,PASS,Smoke_Checkpoint_TWOMAIN_URL_CV_Prefix_Seffix_NotFoundFail_ActionOnfailStop passed
Smoke_Checkpoint_TWOMAIN_URL_CV_CompareWithFile_FoundFail,Smoke,4.1.3,3,NS,TR3572,PASS,Smoke_Checkpoint_TWOMAIN_URL_CV_CompareWithFile_FoundFail passed
Smoke_Checkpoint_TWOMAIN_URL_CV_CompareWithFile_NotFoundFail,Smoke,4.1.3,3,NS,TR3573,PASS,Smoke_Checkpoint_TWOMAIN_URL_CV_CompareWithFile_NotFoundFail passed
Smoke_FileParam_FiveMainURL_ChangeOnUse,Smoke,4.1.3,3,NS,TR3574,PASS,Smoke_FileParam_FiveMainURL_ChangeOnUse passed
Smoke_FileParam_FiveMainURL_ChangeOnSession,Smoke,4.1.3,3,NS,TR3575,PASS,Smoke_FileParam_FiveMainURL_ChangeOnSession passed
Smoke_TenDSrvrURL_Sce2Dep,Smoke,4.1.3,3,NS,TR3576,PASS,Smoke_TenDSrvrURL_Sce2Dep passed
Smoke_OneDSrvr_RelativePath,Smoke,4.1.3,3,NS,TR3577,PASS,Smoke_OneDSrvr_RelativePath passed
Smoke_DifHost_Redirection,Smoke,4.1.3,3,NS,TR3578,PASS,Smoke_DifHost_Redirection passed
Smoke_RltvToObslt_Redirection,Smoke,4.1.3,3,NS,TR3579,PASS,Smoke_RltvToObslt_Redirection passed
Smoke_DifProto_Redirection,Smoke,4.1.3,3,NS,TR3580,PASS,Smoke_DifProto_Redirection passed
Smoke_SAVE_STRING_API_TEST,Smoke,4.1.3,3,NS,TR3581,PASS,Smoke_SAVE_STRING_API_TEST Passed
Smoke_EVAL_STRING_API_TEST,Smoke,4.1.3,3,NS,TR3582,PASS,Smoke_EVAL_STRING_API_TEST Passed
Smoke_ADV_PARAM_API_TEST,Smoke,4.1.3,3,NS,TR3583,PASS,Smoke_ADV_PARAM_API_TEST Passed
Smoke_ADV_PARAM_API_TEST_FAIL,Smoke,4.1.3,3,NS,TR3584,PASS,Smoke_ADV_PARAM_API_TEST_FAIL Passed
Smoke_SAVE_DATA_VAR_API_RELATIVE_PATH_TEST,Smoke,4.1.3,3,NS,TR3585,PASS,Smoke_SAVE_DATA_VAR_API_RELATIVE_PATH_TEST Passed
Smoke_SAVE_DATA_VAR_API_ABSOLUTE_PATH_TEST,Smoke,4.1.3,3,NS,TR3586,PASS,Smoke_SAVE_DATA_VAR_API_ABSOLUTE_PATH_TEST Passed
Smoke_SAVE_DATA_VAR_API_NO_PERMISSION_FAIL_TEST,Smoke,4.1.3,3,NS,TR3587,PASS,Smoke_SAVE_DATA_VAR_API_NO_PERMISSION_FAIL_TEST Passed
Smoke_SAVE_DATA_VAR_API_WRONG_PATH_FAIL_TEST,Smoke,4.1.3,3,NS,TR3588,PASS,Smoke_SAVE_DATA_VAR_API_WRONG_PATH_FAIL_TEST Passed
Smoke_SAVE_DATA_EVAL_API_RELATIVE_PATH_TEST,Smoke,4.1.3,3,NS,TR3589,PASS,Smoke_SAVE_DATA_EVAL_API_RELATIVE_PATH_TEST Passed
Smoke_SAVE_DATA_EVAL_API_ABSOLUTE_PATH_TEST,Smoke,4.1.3,3,NS,TR3590,PASS,Smoke_SAVE_DATA_EVAL_API_ABSOLUTE_PATH_TEST Passed
Smoke_SAVE_DATA_EVAL_API_NO_PERMISSION_FAIL_TEST,Smoke,4.1.3,3,NS,TR3591,PASS,Smoke_SAVE_DATA_EVAL_API_NO_PERMISSION_FAIL_TEST Passed
Smoke_SAVE_DATA_EVAL_API_WRONG_PATH_FAIL_TEST,Smoke,4.1.3,3,NS,TR3592,PASS,Smoke_SAVE_DATA_EVAL_API_WRONG_PATH_FAIL_TEST Passed
Smoke_SAVE_DATA_EX_API_RELATIVE_PATH_TEST,Smoke,4.1.3,3,NS,TR3593,PASS,Smoke_SAVE_DATA_EX_API_RELATIVE_PATH_TEST Passed
Smoke_SAVE_DATA_EX_API_ABSOLUTE_PATH_TEST,Smoke,4.1.3,3,NS,TR3594,PASS,Smoke_SAVE_DATA_EX_API_ABSOLUTE_PATH_TEST Passed
Smoke_SAVE_DATA_EX_API_NO_PERMISSION_FAIL_TEST,Smoke,4.1.3,3,NS,TR3595,PASS,Smoke_SAVE_DATA_EX_API_NO_PERMISSION_FAIL_TEST Passed
Smoke_SAVE_DATA_EX_API_WRONG_PATH_FAIL_TEST,Smoke,4.1.3,3,NS,TR3596,PASS,Smoke_SAVE_DATA_EX_API_WRONG_PATH_FAIL_TEST Passed
Smoke_SET_INT_VAL_API_TEST,Smoke,4.1.3,3,NS,TR3597,PASS,Smoke_SET_INT_VAL_API_TEST Passed
Smoke_GET_INT_VAL_API_TEST,Smoke,4.1.3,3,NS,TR3598,PASS,Smoke_GET_INT_VAL_API_TEST Passed
Smoke_GET_RANDOM_STR_API_TEST,Smoke,4.1.3,3,NS,TR3599,PASS,Smoke_GET_RANDOM_STR_API_TEST Passed
Smoke_GETTERS_API_TEST,Smoke,4.1.3,3,NS,TR3600,PASS,Smoke_GETTERS_API_TEST Passed
Smoke_CHK_STR_CPY_API_TEST,Smoke,4.1.3,3,NS,TR3601,PASS,Smoke_CHK_STR_CPY_API_TEST Passed
Smoke_4UrlT_WOExpCookie_CMode1,Smoke,4.1.3,3,NS,TR3602,PASS,Smoke_4UrlT_WOExpCookie_CMode1 passed
Smoke_4UrlT_WExpCookie_CMode1,Smoke,4.1.3,3,NS,TR3603,PASS,Smoke_4UrlT_WExpCookie_CMode1 passed
Smoke_4UrlT_ExpCookie_CMode1,Smoke,4.1.3,3,NS,TR3604,PASS,Smoke_4UrlT_ExpCookie_CMode1 passed
Smoke_2UrlT_ClineCookie_CMode1,Smoke,4.1.3,3,NS,TR3605,PASS,Smoke_2UrlT_ClineCookie_CMode1 passed
Smoke_AF_OneMain_FiveAFURL,Smoke,4.1.3,3,NS,TR3606,PASS,Smoke_AF_OneMain_FiveAFURL Passed
Smoke_AF_OneMain_FiveAFedURL_AFOFF,Smoke,4.1.3,3,NS,TR3607,PASS,Smoke_AF_OneMain_FiveAFedURL_AFOFF Passed
Smoke_AF_OneMain_FiveAFedURL_TwoEmbd_AFOn,Smoke,4.1.3,3,NS,TR3608,PASS,Smoke_AF_OneMain_FiveAFedURL_TwoEmbd_AFOn Passed
Smoke_AF_OneMain_FiveAFedURL_TwoEmbd_AFOFF,Smoke,4.1.3,3,NS,TR3609,PASS,Smoke_AF_OneMain_FiveAFedURL_TwoEmbd_AFOFF Passed
Smoke_Http_auth_Basic_apache_main_param_session,Smoke,4.1.3,3,NS,TR3610,PASS,Smoke_Http_auth_Basic_apache_main_param_session passed
Smoke_Http_auth_Basic_apache_main_param_use,Smoke,4.1.3,3,NS,TR3611,PASS,Smoke_Http_auth_Basic_apache_main_param_use passed
Smoke_Http_auth_Basic_apache_PageDump,Smoke,4.1.3,3,NS,TR3612,PASS,Smoke_Http_auth_Basic_apache_PageDump passed
Smoke_Http_auth_Basic_main_CheckWithKA,Smoke,4.1.3,3,NS,TR3613,PASS,Smoke_Http_auth_Basic_main_CheckWithKA passed
Smoke_Http_auth_Basic_main_CVfailWithOutKA,Smoke,4.1.3,3,NS,TR3614,PASS,Smoke_Http_auth_Basic_main_CVfailWithOutKA passed
Smoke_OneUrl_MultiPart_With_Boundary,Smoke,4.1.3,3,NS,TR3615,PASS, passed
Smoke_OneUrl_MultiPart_Without_Boundary,Smoke,4.1.3,3,NS,TR3616,PASS, passed
Smoke_MultiPart_Nested,Smoke,4.1.3,3,NS,TR3617,PASS, passed
Smoke_TypeA_DNS,Smoke,4.1.3,3,NS,TR3618,PASS,Smoke_TypeA_DNS Passed
Smoke_TypeAAAA_DNS,Smoke,4.1.3,3,NS,TR3619,PASS,Smoke_TypeAAAA_DNS Passed
Smoke_TypeMX_DNS,Smoke,4.1.3,3,NS,TR3620,PASS,Smoke_TypeMX_DNS Passed
Smoke_TypeNS_DNS,Smoke,4.1.3,3,NS,TR3621,PASS,Smoke_TypeNS_DNS Passed
Smoke_TypeSOA_DNS,Smoke,4.1.3,3,NS,TR3622,PASS,Smoke_TypeSOA_DNS Passed
Smoke_TypePTR_DNS,Smoke,4.1.3,3,NS,TR3623,PASS,Smoke_TypePTR_DNS Passed
Smoke_TypeCNAME_DNS,Smoke,4.1.3,3,NS,TR3624,PASS,Smoke_TypeCNAME_DNS Passed
Smoke_POP3,Smoke,4.1.3,3,NS,TR3625,PASS,Smoke_POP3 Passed
Smoke_FTP_TXT_TYPE_PASSIVE,Smoke,4.1.3,3,NS,TR3626,PASS,Smoke_FTP_TXT_TYPE_PASSIVE Passed
Smoke_FTP_BIN_TYPE_PASSIVE,Smoke,4.1.3,3,NS,TR3627,PASS,Smoke_FTP_BIN_TYPE_PASSIVE Passed
Smoke_FTP_TXT_TYPE_ACTIVE,Smoke,4.1.3,3,NS,TR3628,PASS,Smoke_FTP_TXT_TYPE_ACTIVE Passed
Smoke_FTP_BIN_TYPE_ACTIVE,Smoke,4.1.3,3,NS,TR3629,PASS,Smoke_FTP_BIN_TYPE_ACTIVE Passed
Smoke_SMTP,Smoke,4.1.3,3,NS,TR3630,PASS,Smoke_SMTP Passed
Smoke_IMAP_FETCH_HEADER,Smoke,4.1.3,3,NS,TR3631,PASS,Smoke_IMAP_FETCH_HEADER Passed
Smoke_IMAP_FETCH_TEXT,Smoke,4.1.3,3,NS,TR3632,PASS,Smoke_IMAP_FETCH_TEXT Passed
Smoke_IMAP_FETCH_BODY,Smoke,4.1.3,3,NS,TR3633,PASS,Smoke_IMAP_FETCH_BODY Passed
Smoke_HESSIAN_V1,Smoke,4.1.3,3,NS,TR3634,PASS,Smoke_HESSIAN_V1 Passed
Smoke_HESSIAN_V2,Smoke,4.1.3,3,NS,TR3635,PASS,Smoke_HESSIAN_V2 Passed
Smoke_RBU_FIREFOX_ALL_FEATURES_NO_HEADER,Smoke,4.1.3,3,NS,TR3636,PASS,Smoke_RBU_FIREFOX_ALL_FEATURES_NO_HEADER Passed
Smoke_RBU_FIREFOX_ALL_FEATURES_WITH_HEADER_GET,Smoke,4.1.3,3,NS,TR3637,PASS,Smoke_RBU_FIREFOX_ALL_FEATURES_WITH_HEADER_GET Passed
Smoke_RBU_FIREFOX_ALL_FEATURES_WITH_HEADER_POST,Smoke,4.1.3,3,NS,TR3638,PASS,Smoke_RBU_FIREFOX_ALL_FEATURES_WITH_HEADER_POST Passed
Smoke_RBU_CHROME_ALL_FEATURES_CACHE_ENABLE_NO_HEADER,Smoke,4.1.3,3,NS,TR3639,FAIL,Smoke_RBU_CHROME_ALL_FEATURES_CACHE_ENABLE_NO_HEADER Failed
Smoke_RBU_CHROME_ALL_FEATURES_CACHE_ENABLE_HEADER_GET,Smoke,4.1.3,3,NS,TR3640,PASS,Smoke_RBU_CHROME_ALL_FEATURES_CACHE_ENABLE_HEADER_GET Passed
Smoke_RBU_CHROME_ALL_FEATURES_CACHE_ENABLE_HEADER_POST,Smoke,4.1.3,3,NS,TR3641,PASS,Smoke_RBU_CHROME_ALL_FEATURES_CACHE_ENABLE_HEADER_POST Passed
Smoke_Sync_Point_BeforeFirstTrans_10U_alluser_release,Smoke,4.1.3,3,NS,TR3642,PASS,Smoke_Sync_Point_BeforeFirstTrans_10U_alluser_release Passed
Smoke_Sync_Point_BeforeFirstTrans_10U_5user_release,Smoke,4.1.3,3,NS,TR3643,PASS,Smoke_Sync_Point_BeforeFirstTrans_10U_5user_release Passed
Smoke_Sync_Point_BeforeFirstTrans_10U_20user_release_TimeOut,Smoke,4.1.3,3,NS,TR3644,PASS,Smoke_Sync_Point_BeforeFirstTrans_10U_20user_release_TimeOut Passed
Smoke_Sync_Point_InBetweenTrans_10U_alluser_release,Smoke,4.1.3,3,NS,TR3645,PASS,Smoke_Sync_Point_InBetweenTrans_10U_alluser_release Passed
Smoke_Sync_Point_BeforeFirstPage_10U_alluser_release,Smoke,4.1.3,3,NS,TR3646,PASS,Smoke_Sync_Point_BeforeFirstPage_10U_alluser_release Passed
Smoke_Sync_Point_InBtweenPage_10U_5user_release,Smoke,4.1.3,3,NS,TR3647,PASS,Smoke_Sync_Point_InBtweenPage_10U_5user_release Passed
Smoke_PageThink_Constant,Smoke,4.1.3,3,NS,TR3648,PASS,Smoke_PageThink_Constant Passed
Smoke_PageThink_Uni_Dist,Smoke,4.1.3,3,NS,TR3649,PASS,Smoke_PageThink_Uni_Dist Passed
Smoke_PageThink_Int_Dist,Smoke,4.1.3,3,NS,TR3650,FAIL,Smoke_PageThink_Int_Dist Failed
Smoke_PageThink_Spcfc_Page,Smoke,4.1.3,3,NS,TR3651,PASS,Smoke_PageThink_Spcfc_Page Passed
Smoke_PageThink_Overide_Mul,Smoke,4.1.3,3,NS,TR3652,FAIL,Smoke_PageThink_Overide_Mul Failed
Smoke_PageThink_Overide_Random_Pct,Smoke,4.1.3,3,NS,TR3653,PASS,Smoke_PageThink_Overide_Random_Pct Passed
Smoke_RunLogic_Percentage_1,Smoke,4.1.3,3,NS,TR3654,PASS,Smoke_RunLogic_Percentage_1 Passed
Smoke_RunLogic_Percentage_2,Smoke,4.1.3,3,NS,TR3655,PASS,Smoke_RunLogic_Percentage_2 Passed
Smoke_RunLogic_Percentage_3,Smoke,4.1.3,3,NS,TR3656,PASS,Smoke_RunLogic_Percentage_3 Passed
Smoke_RunLogic_Sequence,Smoke,4.1.3,3,NS,TR3657,PASS,Smoke_RunLogic_Sequence Passed
Smoke_RunLogic_Switch_default_negtvOne,Smoke,4.1.3,3,NS,TR3658,PASS,Smoke_RunLogic_Switch_default_negtvOne Passed
Smoke_RunLogic_Switch_zero,Smoke,4.1.3,3,NS,TR3659,PASS,Smoke_RunLogic_Switch_zero Passed
Smoke_RunLogic_Switch_one,Smoke,4.1.3,3,NS,TR3660,PASS,Smoke_RunLogic_Switch_one Passed
Smoke_RunLogic_Switch_negtvTwo,Smoke,4.1.3,3,NS,TR3661,PASS,Smoke_RunLogic_Switch_negtvTwo Passed
Smoke_RunLogic_Switch_default_five,Smoke,4.1.3,3,NS,TR3662,PASS,Smoke_RunLogic_Switch_default_five Passed

Failed: 3 test(s), Passed: 100 test(s), Total: 103 test(s)
